,word,type
1137,बूढ़ा,negative
1138,प्रचण्डतापूर्वक,positive
1139,सहज,positive
1140,मोहभंग,negative
1141,आशंकाओं,negative
1142,निर्बल,negative
1143,हुआ,stopword
1144,मूसलधार ,positive
1145,उग्रता,negative
1146,परोपकार,positive
1147,नाराजगी,negative
1148,के माध्यम से,stopword
1149,प्रतिकूल,negative
1150,अपूर्ण,negative
1151,प्रलय,negative
1152,अविकसित,negative
1153,पलायन,negative
1154,ओढ़नी,negative
1155,शीघ्रता ,positive
1156,हँसाना,positive
1157,अस्वीकार,negative
1158,वाले,stopword
1159,स्वार्थी,negative
1160,प्रचार,negative
1161,विनाशकारी,negative
1162,असंभव,negative
1163,शांत,positive
1164,प्रसन्न,positive
1165,उखड़,negative
1166,कामचोर ,negative
1167,साजिश,negative
1168,निरर्थकता ,negative
1169,करने में,stopword
1170,किया है,stopword
1171,दुराचार,negative
1172,नगण्य,negative
1173,तोहमत,negative
1174,जलादिया,negative
1175,अपराधों,negative
1176,रक्तपात,negative
1177,बतंगड़,negative
1178,तानाशाह,negative
1179,उपयोग,positive
1180,निकल,stopword
1181,निष्ठा,positive
1182,अल्हड़,positive
1183,ढहते,negative
1184,नुकसान,negative
1185,फ़ासिस्ट,negative
1186,अशोभनीय,negative
1187,परिवर्तन,positive
1188,गंवार,negative
1189,नीचादिखाना,negative
1190,उल्लेखनीय,positive
1191,पूर्वाग्रह,negative
1192,असफल,negative
1193,विद्रोही,negative
1194,मुजरिम,negative
1195,असमर्थता,negative
1196,विश्ववस्तता,positive
1197,यथेष्ट,positive
1198,सिरदर्द,negative
1199,तरह,stopword
1200,लज्जित ,negative
1201,भारीविवादों,negative
1202,उलझन ,negative
1203,संदिग्ध ,negative
1204,कमजोखिम,positive
1205,दंभ,negative
1206,झिड़कना,negative
1207,कलंकारोपणपूर्ण,negative
1208,निरर्थकता,negative
1209,शीर्षगुणवत्ता,positive
1210,सुशीलता,positive
1211,कृतध्नता,negative
1212,आत्मतुष्ट,negative
1213,आरोप ,negative
1214,अभागी,negative
1215,निन्दा,negative
1216,झुकाहुआ,negative
1217,दयालु,positive
1218,कुल,stopword
1219,विशेषाधिकार,positive
1220,गरीब,negative
1221,बाएँझुकाव,negative
1222,अब,stopword
1223,डरावनी,negative
1224,कोलाहलमय,negative
1225,दबाव,negative
1226,सुस्ती,negative
1227,मरियल,negative
1228,अचूकता,positive
1229,मिलाना,positive
1230,ईमानदारी ,positive
1231,अजेय,positive
1232,दुष्ट,negative
1233,बाधित,negative
1234,अत्यधिक,negative
1235,विधर्मिक,negative
1236,क्वथन,negative
1237,साधनसंपन्न,positive
1238,डूबा,negative
1239,प्रतिकारिता,negative
1240,टैंक,negative
1241,समर्थन,positive
1242,चिढ़ाते ,negative
1243,अफवाहें,negative
1244,आत्मीयता,positive
1245,अवशेष,negative
1246,तिरस्कार,negative
1247,समतुलित,positive
1248,गंदाकरना,negative
1249,शोकपूर्वक,negative
1250,विरोधप्रदर्शन,negative
1251,वफादार,positive
1252,रिसाव,negative
1253,पारदर्शी,positive
1254,आलोचक,negative
1255,आधिकारिक,positive
1256,गंधक,negative
1257,मानहानि,negative
1258,कमीनों,negative
1259,धार्मिक,positive
1260,अपवित्र,negative
1261,बहशीपन,negative
1262,सिलेंडर,positive
1263,मनोरम,positive
1264,चिंताजनक,negative
1265,शरारती,negative
1266,स्वागत ,positive
1267,अस्वीकार्य,negative
1268,झूठ,negative
1269,बेपरवाह,negative
1270,के लिए,stopword
1271,अहंकार ,negative
1272,प्रशस्त,positive
1273,खंडनकरना,negative
1274,अपराजेयता,positive
1275,रुकावट,negative
1276,शुभचिंतकों,positive
1277,कष्टदायी ,negative
1278,अयोग्यता,negative
1279,निष्कलंक ,positive
1280,छाला,negative
1281,खंडन,negative
1282,विफलता,negative
1283,अकथ्य,negative
1284,नेमसिस,negative
1285,अप्रतिस्पर्धी,negative
1286,विस्फोटक,negative
1287,मूडी,negative
1288,चोट,negative
1289,गप्पी,negative
1290,क्या,stopword
1291,जा,stopword
1292,निष्पक्ष,positive
1293,ग़लतव्याख्या,negative
1294,नालायकी,negative
1295,पतली,positive
1296,स्पंदन,positive
1297,मारता,negative
1298,वीरानी,negative
1299,सुविधाजनक ,positive
1300,वसा,negative
1301,प्रतिकारक,negative
1302,स्मारकीय,positive
1303,पस्त,negative
1304,पीटना,negative
1305,कुमार्ग ,negative
1306,विस्फोट,negative
1307,बदनसीबी ,negative
1308,राहत,positive
1309,मुरझाया ,negative
1310,सशक्त ,positive
1311,उनको,stopword
1312,भ्रष्टाचार,negative
1313,नालियों,negative
1314,अंतर्विरोध,negative
1315,आगे,stopword
1316,आरोप,negative
1317,अन्तरंग,positive
1318,आधसना,negative
1319,सराहना,positive
1320,चुंगी,negative
1321,अहिंसात्मक,positive
1322,शोक,negative
1323,घृणात्मक ,negative
1324,तजरबाकार,positive
1325,सताते,negative
1326,उत्सुकता,positive
1327,उत्साहित,positive
1328,एहसान,positive
1329,दमपुख़्त,negative
1330,दुर्बलता,negative
1331,चेतावनी,negative
1332,आनंद,positive
1333,प्रतिक्रियावादी,negative
1334,असंतत,negative
1335,वीभत्स,negative
1336,सत्यसाधनीय,positive
1337,मानार्थ,positive
1338,उपदेश ,positive
1339,विवेक,positive
1340,उपद्रवी,negative
1341,सहमत,positive
1342,संभ्रांति,negative
1343,अमानवीय,negative
1344,भ्रष्टाचरण,negative
1345,विविध,negative
1346,सफलतापूर्वक,positive
1347,विनाशक,negative
1348,गड्ढा,negative
1349,निराश,negative
1350,अविश्वसनीयता,negative
1351,वेश्या,negative
1352,प्रतिकूलता,negative
1353,अनुपलब्ध,negative
1354,देवरूप,positive
1355,बढ़ावा,positive
1356,सुअर,negative
1357,असीम,positive
1358,विरोधात्मक,negative
1359,मगर,stopword
1360,बेपरवाही,negative
1361,शब्दाडंबरपूर्ण,negative
1362,विवादग्रस्त,negative
1363,गुर्राना,negative
1364,चिकनाई ,negative
1365,टुकड़ेटुकड़ेकरना,negative
1366,भ्रष्ट,negative
1367,बदनामी,negative
1368,शिष्ट,positive
1369,रोकना,negative
1370,भंग,negative
1371,मुख़्तलिफ़,negative
1372,वहाँ,stopword
1373,हतोत्साहित,negative
1374,ब्लिस्टरिंग,negative
1375,विरोधी,negative
1376,क्रियाशील ,positive
1377,गलतसमझना,negative
1378,मित्रवत,positive
1379,गुदगुदाना,positive
1380,लज्जापूर्वक,negative
1381,खोना,negative
1382,हर्षातिरेक ,positive
1383,आंतरायिक,negative
1384,सुधारना,positive
1385,उद्धत,negative
1386,गिरने,negative
1387,फर्जी,negative
1388,प्रसिद्ध,positive
1389,फटा,negative
1390,आपदाओं,negative
1391,दबन्न्ग,positive
1392,आराम ,positive
1393,पसंद,positive
1394,अनुपातहीन,negative
1395,अपवित्रता,negative
1396,स्लैशिंग,negative
1397,खेद,negative
1398,झिलमिलाता,positive
1399,दुःखदायी,negative
1400,अवांछित,negative
1401,दस्तक,negative
1402,उत्तोलन,positive
1403,आनंद,positive
1404,नीचे,stopword
1405,अभिमानी,positive
1406,कंपकंपी,negative
1407,नैतिक,positive
1408,अंधा,negative
1409,मारागया,negative
1410,ढेर,negative
1411,स्वर्गीय,positive
1412,उपयोगी,positive
1413,प्रतिभा,positive
1414,तबदीली,negative
1415,विह्वल,negative
1416,जानकार,positive
1417,ऋण,negative
1418,पिशाच,negative
1419,भीषण,negative
1420,अभिमानी,negative
1421,विपत्तिपूर्वक,negative
1422,निवारक,negative
1423,रूमानी ,positive
1424,आपत्तियों,negative
1425,गमगीन,negative
1426,उद्विग्नता,negative
1427,सिद्धांतवादी,positive
1428,ख़ुदग़रज़ी,negative
1429,नीतिभ्रष्ट ,negative
1430,प्राप्य,positive
1431,चिंताशील,positive
1432,अभिशप्त,negative
1433,वसायुक्त,negative
1434,दोमुंहा,negative
1435,रिश्वतखोरी,negative
1436,गुस्से ,negative
1437,पीड़ाहीनता ,positive
1438,दुर्दशा,negative
1439,क्लासिक,positive
1440,दृष्टिमांद्य,negative
1441,तिरस्कारपूर्वक,negative
1442,आलिंगन,positive
1443,सफल,positive
1444,ठहराव,negative
1445,ट्रम्प,positive
1446,आलोचना,negative
1447,अधिक ,negative
1448,किफायती,positive
1449,मुग्ध,positive
1450,कटुता,negative
1451,विकृति,negative
1452,आपराधिक,negative
1453,निषिद्ध,negative
1454,आवेशपूर्ण,positive
1455,अल्पज्ञात,negative
1456,अल्ट्राकट्टरपंथी,negative
1457,चापलूसी,negative
1458,संभव,positive
1459,से नीचे,stopword
1460,कुप्रबन्ध ,negative
1461,सुलगनेवाला,negative
1462,कजलाना,negative
1463,चिल्ला,negative
1464,ग्रस्तता,positive
1465,अनैतिकता,negative
1466,असाध्य,negative
1467,वैभव,positive
1468,अनुमेय,positive
1469,कट्टर,negative
1470,साज़िश,positive
1471,शीतल,positive
1472,विश्वास,positive
1473,ताज़ा,positive
1474,पुलकित,positive
1475,इत्यादि,stopword
1476,उजाड़ना,negative
1477,घोटालों,negative
1478,मैं,stopword
1479,स्क्वॉश,negative
1480,विजेता,positive
1481,अनुशासनात्मकसज़ा,negative
1482,रक्षाकरना,positive
1483,नायाब,negative
1484,खीझाना,negative
1485,दिली,positive
1486,अविश्वसनीय,negative
1487,अनाड़ी,negative
1488,वंचितकरना,negative
1489,भुलावा,negative
1490,कलंकतिकरना,negative
1491,संकटमय,negative
1492,भाग्यवाद संबंधी,positive
1493,विषैला,negative
1494,दु: खी,negative
1495,युद्ध,negative
1496,हराना,negative
1497,असमानताओं,negative
1498,बुखार,negative
1499,नेतृत्व,positive
1500,खारिज,negative
1501,हैक,negative
1502,सुखपूर्वक,positive
1503,क्यों,stopword
1504,प्रशंसित,positive
1505,नास्तिकता ,negative
1506,शिकायतों,negative
1507,मुट्ठी,negative
1508,दुराराध्य,negative
1509,प्रबल,negative
1510,मूर्ख,negative
1511,बेकार,negative
1512,झगड़ालूपन,negative
1513,पूरित,positive
1514,गूंज,negative
1515,बिनालाइसेंस,negative
1516,सुरक्षा,positive
1517,निपुण,positive
1518,शिकन,negative
1519,गटर,negative
1520,अनदेखी ,negative
1521,खारिज,negative
1522,व्यावहारिक,positive
1523,भाग्यवश,positive
1524,रगड़डालना,negative
1525,निर्णायक,positive
1526,आलोचकों,negative
1527,अन्यायपूर्ण,negative
1528,उत्सव,positive
1529,कम,stopword
1530,इष्टतम,positive
1531,घबड़ा ,negative
1532,भड़कना,negative
1533,निरानंद,negative
1534,इच्छुक,positive
1535,मुक़्तलिफ़,negative
1536,अखण्ड,positive
1537,मंत्रमुग्ध,positive
1538,शीर्षपायदान,positive
1539,इन्हें,stopword
1540,आनंदपूर्वक,positive
1541,अछूता,negative
1542,भावुकता ,positive
1543,जवाहरात,positive
1544,सादगी,positive
1545,उलझन,negative
1546,असमान,negative
1547,भयावह,negative
1548,अव्यवस्था,negative
1549,मनभावना,positive
1550,पीड़ादायक,negative
1551,क्षमा,positive
1552,दुर्बोध,negative
1553,मरणासन्न,negative
1554,गिरगया,negative
1555,ग्रस्त,negative
1556,अनुकरणीय,positive
1557,दुरुपयोग,negative
1558,विस्तृत,positive
1559,मनोरंजन,positive
1560,ईमान,positive
1561,लुटेरा,negative
1562,वृहदाकार,negative
1563,बहादुरी,positive
1564,बहना,negative
1565,राक्षसी,negative
1566,अचेत,negative
1567,नीच,negative
1568,बहुप्रतीक्षित,positive
1569,अधीन,negative
1570,सीधा ,positive
1571,विप्लव,negative
1572,बमबारी,negative
1573,अतुलनीय,positive
1574,गलाघोंटकर,negative
1575,अंदर,stopword
1576,हठी,negative
1577,विशिष्ट,negative
1578,पछताना,negative
1579,अप्रस्तुत,negative
1580,ऊबड़,negative
1581,समर्थन ,positive
1582,साहसपूर्वक,positive
1583,झूठकरनेवाला,negative
1584,निर्धनता,negative
1585,फंस,negative
1586,भीषणतापूर्वक,negative
1587,असहिष्णुता,negative
1588,अभागा,negative
1589,उत्तरजीविता,positive
1590,अदक्षता,negative
1591,अज्ञात,negative
1592,घायल,negative
1593,जयघोष ,positive
1594,अजनबी,negative
1595,छिपकर ,negative
1596,वीरता,positive
1597,ख़तरेमेंडालना,negative
1598,सुलझाया,negative
1599,रूखा,negative
1600,लय ,positive
1601,वाहवाही,positive
1602,दमनकारी,negative
1603,पॉलिश,positive
1604,क्रुद्ध,negative
1605,क्रूरता,negative
1606,जल्दबाज़ी ,positive
1607,बम,negative
1608,अपना,stopword
1609,संक्षिप्त,positive
1610,बलि,negative
1611,दबाव,negative
1612,असंतुलन,negative
1613,नपुंसक,negative
1614,मुद्दों,negative
1615,चरचरानेवाला,negative
1616,विखंडित,negative
1617,उमंग,negative
1618,वृद्धि,positive
1619,अपने आप को,stopword
1620,चुगली ,negative
1621,धर्मार्थ,positive
1622,पित्त,negative
1623,रिवीर,positive
1624,नष्ट ,negative
1625,नेकनीयत,positive
1626,भयानक,negative
1627,गड़बड़ियों,negative
1628,निहार,positive
1629,बोझल,negative
1630,विभूतिमान,positive
1631,विश्रंभी,negative
1632,मोहयुक्त,negative
1633,वहन ,positive
1634,कल्पनाशील,positive
1635,हरामी,negative
1636,असंवेदनशील,negative
1637,दुर्वह,negative
1638,अनाड़ीपन,negative
1639,घूमना,negative
1640,बासी,negative
1641,कलंकी,negative
1642,देवतुल्य,positive
1643,अनुमोदन,negative
1644,ऊर्जाकुशल,positive
1645,अगम्य,negative
1646,चाटूकारी,negative
1647,प्रतिरोध,negative
1648,जीता,positive
1649,बेगरज,positive
1650,दानव,negative
1651,कल्पित,positive
1652,झुरना,negative
1653,रॉकसितारों,positive
1654,अप्रतिकार,negative
1655,कृतघ्न,negative
1656,अविश्वासपूर्वक,negative
1657,फालतूपन,negative
1658,संतोषजनक,positive
1659,कलह,negative
1660,रही,stopword
1661,कुशाग्र ,positive
1662,शिक्षादेना,negative
1663,मूरख,negative
1664,स्नेही,positive
1665,पतला,negative
1666,साहसिक,positive
1667,तेजस्वी,positive
1668,कुरूप,negative
1669,कलम,negative
1670,प्रतिबंधित,negative
1671,विशेषकर,positive
1672,सघन,negative
1673,सावधान,negative
1674,गिरा,negative
1675,अपटु,negative
1676,लालच,negative
1677,दलीलों,negative
1678,बंधन,negative
1679,स्वार्थ,negative
1680,वहियत,negative
1681,घपला,negative
1682,आभार,positive
1683,कमाल,positive
1684,उत्कट,positive
1685,अश्लील,negative
1686,हंसमुख,positive
1687,खेदशून्य,negative
1688,बहुमुल्य ,positive
1689,अधोमुख,negative
1690,अन्धेरा,negative
1691,परत,negative
1692,अविश्वास,negative
1693,त्यागना,negative
1694,उग्रतापूर्वक,negative
1695,भयन्कर,negative
1696,दुष्टों,negative
1697,इच्छा,positive
1698,नालायकी ,negative
1699,सर्वश्रेष्ठ,positive
1700,आवारा,negative
1701,झटकेदार,negative
1702,तानाशाही,positive
1703,अनुत्तरदायी,negative
1704,सुधार,positive
1705,जादू,positive
1706,अवर,negative
1707,बनावटी,negative
1708,नापसंदगी,negative
1709,पराक्रमी,positive
1710,शपथपूर्वक ,negative
1711,दर्द,negative
1712,कड़ाही,negative
1713,लाभहीन,negative
1714,पेचीदा,negative
1715,ग्रहणशील,positive
1716,ठुकराना,negative
1717,षड्यंत्र,negative
1718,स्वर्ग,positive
1719,सुलह ,positive
1720,सराहना,positive
1721,आसानी ,positive
1722,अनिश्चय,negative
1723,डराने,negative
1724,सस्ता,positive
1725,तीक्ष्णतापूर्वक,negative
1726,जरा,stopword
1727,सुधार,positive
1728,उन्नति,positive
1729,विघटन,negative
1730,या,stopword
1731,वहशी,negative
1732,बहुमुखी,positive
1733,गंधा,positive
1734,अगाध,negative
1735,संग,stopword
1736,मार्मिक,positive
1737,आहत,negative
1738,व्यग्र,negative
1739,उजागर,positive
1740,कपटी,negative
1741,नेक,positive
1742,नेत्रपकड़ने,positive
1743,तानाशाही,negative
1744,लज्जास्पदता,negative
1745,खदेड़ने,negative
1746,असली,positive
1747,हकलाना,negative
1748,अकाल,negative
1749,तोड़दिया,negative
1750,अभी,stopword
1751,खुद,stopword
1752,मारा,negative
1753,पुनर्गठन,positive
1754,जीतता,positive
1755,गोलमटोल,positive
1756,कसक,negative
1757,सस्ता,negative
1758,प्रत्युपदाहकारी,negative
1759,प्रकुल्ल,positive
1760,महिमा,positive
1761,शांति,positive
1762,सफलता,positive
1763,सख्ती,negative
1764,बोदापन,negative
1765,आध्यात्मिक,positive
1766,दुर्बल,negative
1767,जीतना,positive
1768,प्रतिष्ठा,positive
1769,वग़ैरह,stopword
1770,नीरव,positive
1771,हास्यास्पद,negative
1772,मुंहतोड़,negative
1773,ऊपरउठाना,positive
1774,उत्पीड़न,negative
1775,पाखंडी,negative
1776,जिन्हें,stopword
1777,सड़ांध,negative
1778,प्रचंडातापुर्वक,negative
1779,असह्य,negative
1780,दुष्टता,negative
1781,सरलता,positive
1782,अतिउत्साहित,positive
1783,सही,positive
1784,बंटवारे,negative
1785,विमार्गदर्शन,negative
1786,ग्रन्थिल,negative
1787,नशेड़ी,negative
1788,नम्र,positive
1789,मौत,negative
1790,कहाँ,stopword
1791,अदूरदर्शिता,negative
1792,टिका,negative
1793,बंजर,negative
1794,प्रति,stopword
1795,तैयार,positive
1796,अभाव,negative
1797,अकुलीन,negative
1798,रुको,positive
1799,भंगशील,negative
1800,बेरहम,negative
1801,आशावान,positive
1802,झूठबोलना,negative
1803,रिहाकरना,positive
1804,पीड़ित,negative
1805,मतभेद,negative
1806,गलत,negative
1807,अपराध,negative
1808,कुतरना,positive
1809,धुंधला,negative
1810,उस,stopword
1811,वकील,positive
1812,स्नेह,positive
1813,शान ,positive
1814,आगेनिकलना,positive
1815,मनाकरते ,negative
1816,आत्मनिर्भरता,positive
1817,असावधान,negative
1818,लायक,positive
1819,उदात्त,positive
1820,चमक,positive
1821,दंडात्मक,negative
1822,दोचेहरे,negative
1823,विश्वास ,negative
1824,हैरान,negative
1825,मरोड,negative
1826,बुद्धिहीन,negative
1827,अपरिहार्य,negative
1828,भूखंड,negative
1829,शास्त्रार्थ ,positive
1830,हाथापाई,negative
1831,धोखेबाज़,negative
1832,विनय ,positive
1833,जघन्य,negative
1834,स्वायत्त,positive
1835,बेढंगेपन ,negative
1836,खदेड़ना,negative
1837,ऋणी,positive
1838,कमजोरियों,negative
1839,निर्दयता,negative
1840,रोमांच,positive
1841,फेलिसिटी,positive
1842,आकर्षक,positive
1843,उत्थान,positive
1844,विफल,negative
1845,हारे,negative
1846,गरिमा,positive
1847,खलबली,negative
1848,हल्का,negative
1849,कोई,stopword
1850,हिसात्मक ,negative
1851,भुलक्कड़पन,negative
1852,बंदरखी,negative
1853,मायूस,negative
1854,सवंलित,negative
1855,उपलब्धि,positive
1856,उग्र,negative
1857,नाकाम ,negative
1858,के बारे में,stopword
1859,प्लेग,negative
1860,खुशी,positive
1861,पुनर्जागरण,positive
1862,वियोग,negative
1863,उपाध्यक्ष,negative
1864,वादाकिया,positive
1865,अपमानास्पदता,negative
1866,विवादी,negative
1867,कभी,stopword
1868,आश्च्र्यजनक ,positive
1869,अबल,negative
1870,जैसे,stopword
1871,जैसा,positive
1872,समाप्त,positive
1873,और,stopword
1874,द्वेषपूर्ण,negative
1875,अदूरदर्शा,negative
1876,शत्रुता,negative
1877,आनंददायी ,positive
1878,सुरुचिपूर्ण,positive
1879,ख़राबकरना,negative
1880,झगड़ालू,negative
1881,अत्याचारों,negative
1882,घबरा,negative
1883,सरस,positive
1884,लाभप्रद,positive
1885,असन्तोष,negative
1886,गंभीर,negative
1887,ईमानदारी,positive
1888,कट्टरपंथी,negative
1889,उल्टी,negative
1890,बेमिसाल,positive
1891,बढ़ाता ,positive
1892,उचक्का,negative
1893,हास्यास्पद,negative
1894,सामंजस्य,positive
1895,नाजुकमिज़ाजी,negative
1896,भव्य,positive
1897,पुनस्र्त्थानशील,negative
1898,हत्या,negative
1899,ये,stopword
1900,छोड़ना,negative
1901,उबलनेवाला,positive
1902,तारीफ ,positive
1903,विविध,positive
1904,दुश्मनी,negative
1905,अप्रचलित,negative
1906,आविष्कारशील,positive
1907,रहमदिल,positive
1908,गाली,negative
1909,बुरा,negative
1910,उथलपुथल,negative
1911,होनहार,positive
1912,दुश्मन,negative
1913,सजगकरनेवाला,positive
1914,नुक़सानदेह,negative
1915,कटकट,negative
1916,अपंग,negative
1917,पागलपन,negative
1918,गलतफहमी,negative
1919,किए,stopword
1920,नम,negative
1921,मरजाना,negative
1922,चिकना,negative
1923,राक्षस,negative
1924,वीर,positive
1925,आकारक,negative
1926,वर्ग,stopword
1927,तिन्हों,stopword
1928,शूकरशाला,negative
1929,घटाना,negative
1930,राजनयिक,positive
1931,कठपुतलियों,negative
1932,कालापव्यय,negative
1933,प्रत्येक,stopword
1934,तृप्तिदायी,positive
1935,नाकामयाबी,negative
1936,अधिरोपण,negative
1937,विवश ,negative
1938,अप्रत्ययी,negative
1939,निराशाजनक,negative
1940,सलामी,positive
1941,में कोई,stopword
1942,फंसाहुआ,negative
1943,भलाई,positive
1944,अवांछनीय,negative
1945,दिखावा,negative
1946,भरोसेमंद,positive
1947,खुरखुरा,negative
1948,कैदकरना,negative
1949,फटाआवाज़,negative
1950,प्रोत्साहन,positive
1951,विवेकी,positive
1952,गिरह,negative
1953,योगदान,positive
1954,सीधापन,positive
1955,ललक,positive
1956,षड़यंत्रपूर्ण,negative
1957,शीर्षबिंदु,positive
1958,गलाघोंटना,negative
1959,कीचड़,negative
1960,वकालत,positive
1961,अच्छी ,positive
1962,परिश्रम,positive
1963,अनादर,negative
1964,आंखपकड़,positive
1965,प्रलोभन,negative
1966,विलंबित,negative
1967,निष्ठावान,positive
1968,संतुष्टि,positive
1969,होती,stopword
1970,कष्टदायी,negative
1971,खुश,positive
1972,विध्वंसक,negative
1973,पुन: पुष्टि,positive
1974,खुद ही,stopword
1975,संत,positive
1976,कयामत,negative
1977,बोरिंग,negative
1978,निर्लज्जता,negative
1979,उम्मीद,positive
1980,बिनासोचेसमझे,negative
1981,शिकंजा,negative
1982,घमंड,negative
1983,अदम्य,negative
1984,हिम्मतबँधाना,positive
1985,टूटादिल,negative
1986,थी,stopword
1987,अपवंचन,negative
1988,इनका,stopword
1989,सहकारी,positive
1990,उच्चगुणवत्ता,positive
1991,सुस्पष्टता ,negative
1992,बर्बरता,negative
1993,रसीला,positive
1994,हत्या,negative
1995,विरोधाभासों,negative
1996,कंकाल,negative
1997,झूठमूठ,negative
1998,ज़ंगखाया,negative
1999,बहुत,stopword
2000,विनम्रता,positive
2001,बेहयाई,negative
2002,मिठास,positive
2003,पुनर्जीवित ,positive
2004,क्रान्तिकारी,positive
2005,उबाऊ,negative
2006,दैवीकरण,positive
2007,देयता,negative
2008,अफवाह,negative
2009,अनुभूतियां,positive
2010,आलीशान,positive
2011,तनावपूर्ण,negative
2012,महानता,positive
2013,सांप,negative
2014,नृशंसतापूर्वक,negative
2015,प्रत्यादेशक,negative
2016,अन्य,stopword
2017,पर्याप्त,positive
2018,दृढ़तापूर्वक,positive
2019,सुगम,positive
2020,धीर,positive
2021,बिगड़ाहुआ,negative
2022,मज़ा आया,positive
2023,बस्ट,negative
2024,लुभाने,positive
2025,मंदबुद्धि,negative
2026,निराधार,negative
2027,पृथक,negative
2028,प्रचुरता,positive
2029,ज़बरदस्त,negative
2030,पैशाचिक,negative
2031,अपरिष्कृत,negative
2032,बेकाम,negative
2033,टोलफ्री,positive
2034,अपमानजनक,negative
2035,पूराकरना,positive
2036,पवित्र,positive
2037,मीठाकरना,positive
2038,उज्जवल,positive
2039,उनकी,stopword
2040,जहरीलेपन ,negative
2041,आदर्श,positive
2042,उपेक्षापूर्ण,negative
2043,जश्नमनाना,positive
2044,स्वयं,stopword
2045,भव्यता,positive
2046,विद्रोह,negative
2047,गंदगी,negative
2048,खिजाते ,negative
2049,गर्वित ,positive
2050,चूसना,negative
2051,विवाद्य,negative
2052,विनय,negative
2053,अशुद्धि,negative
2054,बदबूदार,negative
2055,अत्यधिकता,negative
2056,करतब,positive
2057,शर्मनाक,negative
2058,अल्पभाषी,negative
2059,जोश,positive
2060,एक बार,stopword
2061,बेनिशान,positive
2062,इन्युएन्दो,negative
2063,विभेदकरना,negative
2064,बेखबर,negative
2065,ठग,positive
2066,पूर्वचिन्तित,negative
2067,अधिमानत,positive
2068,हस्तक्षेप,negative
2069,सुशिक्षित,positive
2070,चैंपियन,positive
2071,शैतान,negative
2072,काप,negative
2073,वार्मर,positive
2074,आत्मसम्मान,positive
2075,अभेद्य,positive
2076,अपव्यय,negative
2077,संक्रामक,negative
2078,जाने,stopword
2079,हंगामा,negative
2080,निरंकुश,negative
2081,आलसी,negative
2082,एक,stopword
2083,किन्हों,stopword
2084,बहुतशरमीला,negative
2085,परिहार,positive
2086,सूखा,negative
2087,अभद्रतापूर्वक,negative
2088,स्थूलता,negative
2089,आगेनिकल,positive
2090,आंधी,negative
2091,मोहक,positive
2092,महान,positive
2093,त्याग,negative
2094,इसकी,stopword
2095,फंदा,negative
2096,अजीब,negative
2097,खतरनाक,negative
2098,शालीनता,positive
2099,विषाक्त,negative
2100,आत्मविनाशकारी,negative
2101,भावनाओं,positive
2102,खट्टेपन ,negative
2103,दंडितकरना,negative
2104,ऊलजलूलबातें ,negative
2105,असमर्थित,negative
2106,वैषम्यता,positive
2107,रहती,stopword
2108,नमकहरामी ,negative
2109,त्रुटि,negative
2110,शिष्टता,positive
2111,पराजय,negative
2112,अड़ियल,negative
2113,विषम,negative
2114,कई,stopword
2115,डर,negative
2116,लुभाते ,positive
2117,नम्रता,negative
2118,दोनो,stopword
2119,तिसे,stopword
2120,उपेक्षित,negative
2121,विनीत,positive
2122,घुसपैठ,negative
2123,निशान,negative
2124,अपवर्जन,negative
2125,अपनी,stopword
2126,बदकिस्मती ,negative
2127,बावजूद,negative
2128,पुतला,negative
2129,वे,stopword
2130,समाधानकारी,positive
2131,व्यवधान,negative
2132,टिकाऊ,positive
2133,ठाठ ,positive
2134,तामसिक,negative
2135,दूसरे,stopword
2136,कोसने,negative
2137,कुंद,negative
2138,उजाड़,negative
2139,कुलबुलाहट,negative
2140,निर्मम,negative
2141,छेद,negative
2142,शातिर,negative
2143,रेंगनेवाला,negative
2144,दौरान,stopword
2145,संबंध,positive
2146,अप्रसन्नता,negative
2147,गलत,negative
2148,शुद्ध,positive
2149,प्रकाशयुक्त,positive
2150,अथक,positive
2151,ह्रास,negative
2152,बाहर,stopword
2153,आत्मसमालोचना,negative
2154,इमदादी,positive
2155,मुद्दामुक्त,positive
2156,अनुपयुक्तरूप ,negative
2157,खूबजोरसेपीटना,negative
2158,प्रतिभावान,positive
2159,स्पष्ट,positive
2160,कमलागत,positive
2161,चौंकाने,positive
2162,विजेताओं,positive
2163,गुंडा,negative
2164,पिछड़ेपन,negative
2165,नाजायज,negative
2166,ज़िद,negative
2167,आश्वासन,positive
2168,ऐंठन,negative
2169,निश्शक्त,negative
2170,टाउट,negative
2171,अनैतिक,negative
2172,कठोर,positive
2173,सूना,negative
2174,हर्षोन्माद ,positive
2175,सुन्न,negative
2176,ख़ासकर,positive
2177,शुद्धकरना,positive
2178,अवैयक्तिक,negative
2179,दया,positive
2180,मौजी,negative
2181,दुराग्रही,negative
2182,वसूली,positive
2183,क़ुलफ़ी,negative
2184,कटृटरता,negative
2185,दंडनीय,negative
2186,सौंपना,positive
2187,आत्मनिर्भर,positive
2188,विनम्र,negative
2189,असंभवत:,negative
2190,वीरतापूर्ण ,positive
2191,दमन ,negative
2192,निर्दोषता ,positive
2193,स्वादिष्ट,positive
2194,प्रभाव,positive
2195,आश्वस्त,positive
2196,द्रोही,negative
2197,परेशानी,negative
2198,गपशप,negative
2199,विचारशील,positive
2200,फूटना,negative
2201,नीचादिखा,negative
2202,इस,stopword
